name,alternate name,common set
geolibertarianism,geolbrtrnsm,1
conformism,,1
the open source order of the golden dawn,OSOGD,0
peripatetic,,1
symbolism,,1
emanationism,,1
randianism,,1
statism,,1
egocentrism,,1
behmenism,,1
philosophy of information,info phil,1
kantianism,,1
secular humanism,seclr humanism,1
hindutva,,1
liberation theology,librtan thlgy,1
idealism,,1
moral universalism,moral unvrslsm,1
monotheism,,1
thee temple ov psychick youth,TOPY,0
austromarxism,,1
adhocracy,,1
hermeneutics,,1
suwunism,,1
national syndicalism,ntnl sndclsm,1
illegalism,,1
ideological criticism,ideology critic,1
deep ecology,,1
islam,,1
philosophy of futility,futility phil,1
philosophy of religious language,rlgs lang phil,1
islamic democracy,islamic dmcrcy,1
ergatocracy,,1
irredentism,,1
scandal,,1
post-structuralism,post-strctrlsm,1
first satanic church,1st stnic chrch,1
social liberalism,social lib,1
chaos theory,,1
anarchism,,1
christian philosophy,christian phil,1
left-libertarianism,left-lbrtrnsm,1
indonesian philosophy,indonesian phil,1
solipsism,,1
post-anarchism,,1
leibnizianism,,1
interactionism,,1
philosophy of film,film phil,1
panarchism,,1
philosophy of self,self phil,1
revisionist zionism,rvsnst zionism,1
methodism,,1
meivazhi,,1
jewish anarchism,jewish anrchsm,1
satanism,,1
perennial philosophy,perennialism,1
authoritarian socialism,authrtrn sclsm,1
social conservatism,social cnsrvtsm,1
husakism,,1
hegelianism,,1
aestheticism,,1
deductive reasoning,deuctive rsng,1
pan-islamism,,1
pure reason,,1
nationalism,,1
a\u2234a\u2234,,1
the circle of reason,TCOR,0
praxis school,,1
cosmopolitanism,,1
formalism_(philosophy),formalism,1
czech philosophy,czech phil,1
dvaita,,1
immaterialism,,1
technoliberalism,techno lib,1
pan-nationalism,,1
radical centrism,radical cntrsm,1
traditionalist school,traditionalism,1
pantheism,,1
intuitionism,,1
military dictatorship,military junta,1
christian anarchism,chr anrchsm,1
ontotheology,,1
youthism,,1
capitalism,,1
utilitarianism,,1
black feminism,,1
workerism,,1
activism,,1
ephesian school,,1
anthropomorphism,anthropism,1
inclusive democracy,inclsv dmcrcy,1
representationalism,rprsnttnlsm,1
participatory economics,parecon,1
republic,,1
shinto,,1
meritocracy,,1
ordoliberalism,,1
anti-intellectualism,anti-intlctlsm,1
hasidism,,1
chaos magic,,1
pan-africanism,,1
presentism,,1
philosophy of archaeology,archaeolic phil,1
globalism,,1
philosophy of action,action phil,1
philosophy of culture,culture phil,1
romanticism,,1
transcendent theosophy,trscdntl tsphy,1
contextualism,,1
bureaucracy,,1
deontologism,,1
avicennism,,1
laveyan satanism,LaVey satanism,1
universal life church,ULC,1
libertarian socialism,librtn sclsm,1
humanistic naturalism,hmnstc ntrlsm,1
bright green environmentalism,brht grn evmtsm,1
blue toryism,,1
temple of set,setianism,1
johnson\u2013forest tendency,johnsonites,1
transfeminism,,1
spanish nationalism,spanish ntnlsm,1
christian left,,1
dogmatism,,1
theosophy (blavatskian),blavatsky tsphy,1
jainism,,1
evangelism,,1
philosophy of perception,perception phil,1
yiguandao,,1
classical liberalism,classical lib,1
phenomenology,,1
quietism_(philosophy),quietism,1
colbertism,,1
neo-scholasticism,neo-Thomism,1
freudianism,,1
anti-authoritarianism,anti-authrtrnsm,1
secret society,,1
continuationism,,1
filial piety,,1
neozapatismo,,1
world communism,,1
objectivity_(philosophy),objectivity,1
theosophy (boehmian),boehmian tsphy,1
philosophy of psychiatry,psychiatry phil,1
relativism,,1
hinduism,,1
incompatibilism,,1
bushido,,1
rationalism,,1
proto-fascism,,1
iranian philosophy,iranian phil,1
kierkegaardianism,kierkegaardism,1
subud,,1
liberal nationalism,liberal ntnlsm,1
toryism,,1
austrofascism,,1
cheondoism,,1
jeung san do,,1
sinhalese buddhist nationalism,sinhala ntnlsm,1
literary theory,,1
agorism,,1
misanthropy,,1
philosophy of science,science phil,1
islamofascism,,1
collectivism,,1
existentialism,,1
lgbt conservatism,LGBT cnsrvtsm,1
gnosticism,,1
revolutionary socialism,revltnry sclsm,1
monarchy,,1
carlism,,1
mohism,,1
liberal democracy,lib democracy,1
druze,,1
luxemburgism,,1
totalitarianism,,1
mazdakism,,1
mind-body dualism,mind-body dlsm,1
neue rechte,,1
probabilism,,1
gandhian economics,gandhian econ,1
philosophy of motion,motion phil,1
din-i ilahi,,1
pacifism,,1
historicism,,1
reification,,1
national bolshevism,ntnl bolshevism,1
christianity,,1
philosophy of color,color phil,1
conservatism,,1
syncretism,,1
neo-kantianism,,1
eugenics,,1
biosophy,,1
literary criticism,literary crit,1
christian feminism,christian fmnsm,1
khrushchevism,,1
just war theory,,1
sexism,gender dscrmntn,1
hylozoism,,1
one-nation conservatism,tory democracy,1
anthropocentrism,anthropocntrsm,1
religious philosophy,religious phil,1
transcendentalism,trscdntlsm,1
non-cognitivism,,1
scientology,,1
liberal internationalism,lib intrntnlsm,1
magonism,,1
materialism,,1
homonationalism,,1
jewish philosophy,jewish phil,1
goetia,,1
indeterminism,,1
premillennialism,premlnlsm,1
universalism,,1
mysticism,,1
agrarian socialism,agrarian sclsm,1
extropianism,,1
constructivism,,1
pan-iranism,,1
advaita vedanta,,1
corporate republic,corp republic,1
falangism,,1
gasin faith,,1
virtue ethics,,1
quasi-realism,,1
monarchism,,1
indian philosophy,indian phil,1
ethical socialism,ethical sclsm,1
neoconservatism,,1
ignosticism,,1
logic in islamic philosophy,islamic logic ,1
civic nationalism,civic ntnlsm,1
juche,,1
philosophy of neuroscience,neuro phil,1
national anarchism,ntnl anrchsm,0
marxism,,1
bah\u00e1'\u00ed teachings,bahá'í phil,1
magick (thelema),thelema magick,1
scientific development concept,CPC sci policy,0
ochlocracy,,1
negationism,,1
spiritualism,,1
anti-psychiatry,,1
philosophy of music,music phil,1
b\u00e1bism,,1
unilateralism,,1
supersessionism,,1
fideism,,1
geniocracy,,1
autodidacticism,,1
structuralism,,1
daejongism,,1
green politics,,1
natalism,,1
ezker abertzalea,abertzale left,1
new world order (conspiracy theory),new world order,1
modern islamic philosophy,mdrn islmc phil,1
thomism,,1
democratic liberalism,democratic lib,1
theology,,1
medieval philosophy,medieval phil,1
blanquism,,1
anocracy,,1
digital philosophy,digital phil,1
mormon feminism,,1
god-building,,1
fallacy,,1
rosicrucian fellowship,rosicrucianism,1
builders of the adytum,BOTA,0
eudaimonism,,1
anarcho-primitivism,anrch prmtvsm,1
scotism,,1
pan-european nationalism,pan-europeanism,1
classicism,,1
colonialism,,1
chauvinism,,1
islamic philosophy,islamic phil,1
postanalytic philosophy,post-philosophy,1
universal reconciliation,chr unvrslsm,1
esotericism,,1
hereditarianism,,1
philosophy of arithmetic,arithmetic phil,1
relevance logic,,1
caesaropapism,,1
mandaeism,,1
libertarian conservatism,librtn cnsrvtsm,1
radical feminism,radical fmnsm,1
feminist economics,feminist econ,1
korean philosophy,korean phil,1
metaphysics,,1
wahdat-ul-shuhud,sufi mtphscs,0
classical marxism,classical marx,1
green anarchism,,1
postmodern feminism,pstmdrn fmnsm,1
humanism,pstmdrn fmnsm,1
fiscal conservatism,fiscal cnsrvtsm,1
sufi metaphysics,sufi mtphscs,1
associationalism,asctv dmcrcy,1
fabian society,,1
subjectivism,,1
religious liberalism,religious lib,1
judeo-islamic philosophies (800\u20131400),judeo-islamic,0
wiccan,,1
historical revisionism,hist rvsnsm,1
western philosophy,western phil,1
italian fascism,,1
